year,stock,capture,effort
1950,Cynoglossidae,100,97234280.93
1950,Leiognathidae,7000,97234280.93
1950,Lutjanidae,500,97234280.93
1950,Mullidae,100,97234280.93
1950,Percoidei,2000,97234280.93
1950,Serranidae,1600,97234280.93
1951,Cynoglossidae,100,99971400.77
1951,Leiognathidae,7000,99971400.77
1951,Lutjanidae,500,99971400.77
1951,Mullidae,100,99971400.77
1951,Percoidei,2000,99971400.77
1951,Serranidae,1600,99971400.77
1952,Cynoglossidae,200,137477613.9
1952,Leiognathidae,7300,137477613.9
1952,Lutjanidae,500,137477613.9
1952,Mullidae,200,137477613.9
1952,Percoidei,2000,137477613.9
1952,Polynemidae,700,137477613.9
1952,Serranidae,2100,137477613.9
1953,Cynoglossidae,200,133900320.7
1953,Leiognathidae,4200,133900320.7
1953,Lutjanidae,500,133900320.7
1953,Mullidae,200,133900320.7
1953,Percoidei,2200,133900320.7
1953,Polynemidae,500,133900320.7
1953,Serranidae,1600,133900320.7
1953,Tenualosa ilisha,10000,133900320.7
1953,Upeneus spp,900,133900320.7
1954,Cynoglossidae,200,138971189.7
1954,Leiognathidae,9300,138971189.7
1954,Lutjanidae,600,138971189.7
1954,Mullidae,300,138971189.7
1954,Percoidei,2300,138971189.7
1954,Polynemidae,1200,138971189.7
1954,Serranidae,2300,138971189.7
1954,Tenualosa ilisha,11000,138971189.7
1954,Upeneus spp,1100,138971189.7
1955,Cynoglossidae,200,141628628.9
1955,Leiognathidae,5700,141628628.9
1955,Lutjanidae,600,141628628.9
1955,Mullidae,300,141628628.9
1955,Percoidei,3400,141628628.9
1955,Polynemidae,6100,141628628.9
1955,Serranidae,2300,141628628.9
1955,Tenualosa ilisha,12000,141628628.9
1955,Upeneus spp,800,141628628.9
1956,Cynoglossidae,100,151026849.2
1956,Leiognathidae,12400,151026849.2
1956,Lutjanidae,600,151026849.2
1956,Mullidae,300,151026849.2
1956,Percoidei,4000,151026849.2
1956,Polynemidae,4700,151026849.2
1956,Serranidae,2300,151026849.2
1956,Tenualosa ilisha,13000,151026849.2
1956,Upeneus spp,8000,151026849.2
1957,Cynoglossidae,100,129394726.8
1957,Leiognathidae,11700,129394726.8
1957,Lutjanidae,800,129394726.8
1957,Mullidae,300,129394726.8
1957,Percoidei,3300,129394726.8
1957,Polynemidae,7700,129394726.8
1957,Serranidae,3100,129394726.8
1957,Siganus spp,200,129394726.8
1957,Tenualosa ilisha,6100,129394726.8
1957,Upeneus spp,2300,129394726.8
1958,Cynoglossidae,200,143801546
1958,Leiognathidae,13300,143801546
1958,Lutjanidae,800,143801546
1958,Mullidae,300,143801546
1958,Percoidei,5700,143801546
1958,Polynemidae,3000,143801546
1958,Serranidae,3100,143801546
1958,Siganus spp,200,143801546
1958,Tenualosa ilisha,19500,143801546
1958,Upeneus spp,1700,143801546
1959,Cynoglossidae,200,151007614.8
1959,Leiognathidae,12300,151007614.8
1959,Lutjanidae,1200,151007614.8
1959,Mullidae,400,151007614.8
1959,Percoidei,4500,151007614.8
1959,Polynemidae,4000,151007614.8
1959,Serranidae,3700,151007614.8
1959,Siganus spp,200,151007614.8
1959,Tenualosa ilisha,23100,151007614.8
1959,Upeneus spp,1100,151007614.8
1960,Cynoglossidae,200,137361261.1
1960,Leiognathidae,13900,137361261.1
1960,Lutjanidae,1200,137361261.1
1960,Mullidae,400,137361261.1
1960,Percoidei,4700,137361261.1
1960,Polynemidae,3400,137361261.1
1960,Serranidae,3700,137361261.1
1960,Siganus spp,200,137361261.1
1960,Tenualosa ilisha,28100,137361261.1
1960,Upeneus spp,2000,137361261.1
1961,Cynoglossidae,200,173638251.9
1961,Leiognathidae,11200,173638251.9
1961,Lutjanidae,1200,173638251.9
1961,Mullidae,400,173638251.9
1961,Percoidei,7400,173638251.9
1961,Polynemidae,3100,173638251.9
1961,Serranidae,4700,173638251.9
1961,Siganus spp,200,173638251.9
1961,Tenualosa ilisha,12400,173638251.9
1961,Upeneus spp,1700,173638251.9
1962,Cynoglossidae,300,153467736.6
1962,Leiognathidae,11700,153467736.6
1962,Lutjanidae,1400,153467736.6
1962,Mullidae,500,153467736.6
1962,Percoidei,4300,153467736.6
1962,Polynemidae,1500,153467736.6
1962,Serranidae,5000,153467736.6
1962,Siganus spp,300,153467736.6
1962,Tenualosa ilisha,9100,153467736.6
1962,Upeneus spp,1200,153467736.6
1963,Cynoglossidae,700,180097952.1
1963,Leiognathidae,11900,180097952.1
1963,Lutjanidae,1400,180097952.1
1963,Mullidae,500,180097952.1
1963,Percoidei,4100,180097952.1
