variable,year,mean,sd,lower,upper
b_t,1950,494956.076663661,453617.089241615,124342.460072934,1230789.06919759
b_t,1951,140473.972004993,153068.75559253,29379.1571432284,352225.19161575
b_t,1952,115929.943716593,124824.875997024,22914.5716775038,314416.663219336
b_t,1953,117265.928191032,127188.975476562,22248.7650779359,330796.115138672
b_t,1954,91549.6084786881,103153.533803174,16589.2953906535,252185.818030622
b_t,1955,128912.219080442,144687.561438788,24790.3373929586,343761.023293031
b_t,1956,160911.180981153,179168.173110618,31138.3697265583,427968.441172361
b_t,1957,135635.004954605,140751.647124347,25312.1724043144,367190.814096636
b_t,1958,95481.9046860311,101349.553584616,17235.0936345056,263071.568393198
b_t,1959,71196.1562272679,77754.3128769781,14260.1819670579,194363.801086547
b_t,1960,50032.5084391477,51751.2459586614,9947.45972756424,144386.282907844
b_t,1961,47954.0792379903,51614.7584007278,9455.02963121049,128223.130867907
b_t,1962,60027.3786743029,66136.1697752586,11567.266505567,161155.276410747
b_t,1963,65358.4649565979,73600.2149015126,12647.3216445659,181914.925801844
b_t,1964,141731.50862764,159031.843737758,26550.0426731189,402836.11579718
b_t,1965,148389.773699314,162708.973524567,28607.2654851984,419057.710386329
b_t,1966,272723.776793467,298557.809639041,53050.0917916594,764314.379713685
b_t,1967,423786.396446243,452302.465736194,81774.5825980615,1183189.76273326
b_t,1968,532652.325652633,593681.862392638,100755.042820402,1429157.97412729
b_t,1969,693853.259560823,737616.568148868,132957.073979483,1917475.38194727
b_t,1970,775466.767007452,848713.397055174,144573.324094373,2181768.67360946
b_t,1971,992344.225569692,1137248.92655307,189784.673616343,2791775.1868325
b_t,1972,663037.872816566,691719.495092887,123974.281587528,1878479.14494596
b_t,1973,754835.982499642,820550.441986245,143209.415225981,2057009.93303728
b_t,1974,532363.211932136,598451.85626925,97106.2650823269,1463480.39930407
b_t,1975,476876.422976866,569353.4269804,86039.5281095598,1294108.56957958
b_t,1976,532889.972451185,599105.607020333,101542.713830175,1454350.99403496
b_t,1977,766641.092331377,842737.756966578,150561.079391416,2121250.7789289
b_t,1978,948084.058413191,1030666.96591291,189117.365653133,2549266.22063477
b_t,1979,1021597.66117618,1012134.16538211,213184.424087806,2700375.10294049
b_t,1980,1397894.29032314,1428357.12398446,293912.300906054,3759190.62822646
b_t,1981,1500967.11532055,1581587.66406545,318202.660746954,3916657.74028242
b_t,1982,1649418.18281788,1783028.79643539,360352.803841287,4221192.55859577
b_t,1983,1279378.59574731,1300126.67899056,259091.289058803,3401510.6270445
b_t,1984,1118683.79699623,1159931.66720924,228714.478586804,3012205.2794231
b_t,1985,1404929.45153379,1508647.41218861,296148.761817135,3618308.54507228
b_t,1986,1244715.73841257,1266669.01386454,254401.671670167,3320222.37692806
b_t,1987,1038324.66035472,1202600.47269526,206999.027038777,2801166.89261421
b_t,1988,1062620.04859387,1092278.78856894,202872.039205297,2918727.43907113
b_t,1989,1082819.31873226,1200289.10879622,220882.570477646,2953031.36821008
b_t,1990,797123.935132268,843894.759850084,151216.469359718,2221324.35683964
b_t,1991,720183.960053984,849842.714155088,136043.731607421,1965632.32691135
b_t,1992,725285.922437101,787806.437680926,147570.082633044,2008876.18297697
b_t,1993,815197.872833882,840517.894901635,169651.032630534,2197332.0445064
b_t,1994,793605.462003213,869528.1324154,159529.209754237,2153486.08548384
b_t,1995,825082.732398568,825585.012599077,162012.548151183,2375095.7046688
