variable,year,mean,sd,lower,upper
b_t,1950,27094.3737329574,12581.7660456331,14317.0012220518,49876.7868332546
b_t,1951,21265.756562726,11528.482650773,10274.0009642841,42798.5253092821
b_t,1952,19533.6062881823,10116.9977079304,9788.95068737247,37943.8466612305
b_t,1953,20913.4266325843,11428.0511463846,9697.44013347894,40565.8096241084
b_t,1954,26485.9210290529,15139.3070296854,12034.5087838758,52436.5431761725
b_t,1955,23326.6438124358,12771.3318604086,10817.3514249786,45097.7925038834
b_t,1956,29411.70204934,16500.1150368667,13699.3154199337,57766.4976038298
b_t,1957,32848.1309475621,17709.8196536081,15840.8710828499,67231.7088532383
b_t,1958,39835.3977945619,22478.9593181068,18552.7112088608,81502.9878935502
b_t,1959,38929.1804373729,21593.1395958563,17426.1860141271,75509.1251823096
b_t,1960,35681.696174689,19955.929610248,16755.4524109935,71228.4085212497
b_t,1961,37155.4474290623,20143.3027600722,17490.3016843376,71835.614756899
b_t,1962,37297.6110481538,20300.4277696778,17066.9873309487,72888.9886852577
b_t,1963,38794.7227696497,21235.7741369811,18321.8630921543,76957.605598313
b_t,1964,45645.1868474836,25203.349614053,21474.2827261351,89189.3928685882
b_t,1965,42176.0891756818,24544.3994748407,19003.8213671662,84509.7325243589
b_t,1966,39904.3401062196,21332.8120958882,19382.8846109819,78806.046438869
b_t,1967,32015.4310253529,17472.4761353806,14806.1399073637,62549.6198269517
b_t,1968,27593.2581218471,14931.1309294496,13221.6139446404,53072.5444487189
b_t,1969,22694.4142597636,12092.7615915668,10781.4302299081,45177.9554692219
b_t,1970,19025.1653809509,10496.1639084258,8818.28255429873,38268.0567603068
b_t,1971,18716.1989016433,10520.560264814,9062.6131513313,37267.8068226059
b_t,1972,21713.2023600079,12011.1320046758,10141.3390321431,42317.4337643599
b_t,1973,38453.9640539022,20760.2465093941,17724.0107215656,75883.4267824771
b_t,1974,36493.488530126,20598.5855066006,16287.2041639438,72459.5439398377
b_t,1975,37505.9095218427,20163.6777822953,17551.3180883741,74834.3295257846
b_t,1976,41065.9589713711,22077.5812310988,19033.5871874582,83211.3042697128
b_t,1977,42975.6905152123,23342.0740630529,19579.3120668139,84216.1262146751
b_t,1978,46373.7838206642,26094.9990791656,21973.7405711516,91197.1509185835
b_t,1979,50241.8821184994,27061.655986559,22956.750713949,98543.0497840561
b_t,1980,56149.0347136918,30209.5151143987,26651.9664631058,113937.593719218
b_t,1981,50122.1915945828,27292.6679774376,24043.6160149107,96168.8276008129
b_t,1982,56322.6419820675,31645.9917855376,25874.585726194,114476.855244708
b_t,1983,43401.9590409573,24633.2005825016,20206.7617163965,85138.8800353299
b_t,1984,28739.9131899667,15575.8024024865,13489.0569137414,58008.810683191
b_t,1985,30495.5052217232,17081.7522566157,14184.9435873145,58459.7651946346
b_t,1986,23016.9603029957,12606.652042449,10588.2981322754,45743.3119812398
b_t,1987,17145.1823194485,9317.00135746669,8231.79583347958,32941.5186254183
b_t,1988,18614.1183671116,10586.242269417,8549.87623243892,36998.6522405295
b_t,1989,16255.8088487372,9152.13497464306,7545.896293541,32140.8643141293
b_t,1990,15020.1416569873,8165.51943130927,7265.46479486638,30050.1856532724
b_t,1991,12562.2219755991,6958.91295556373,6064.03198028731,24145.8077151918
b_t,1992,11694.0014728559,6373.55272658206,5639.07645622087,23026.8520952348
b_t,1993,13950.9579373222,7428.05715999001,6614.26708496954,27147.0743560565
b_t,1994,17094.911383859,9227.41043341374,7474.26935484241,33042.4543823998
b_t,1995,15859.6240531412,8146.7544675801,7232.77877498209,30116.5498776143
b_t,1996,17056.8519004167,9116.41752734628,8096.07044629379,33778.0597943478
b_t,1997,22134.5763128646,11742.2461505025,10638.0232333738,42587.253978718
b_t,1998,25179.8632925501,14291.1293142834,11894.3744589084,50719.3586313433
b_t,1999,23649.3067900668,12721.5097192734,11581.2655263757,46216.5116465518
b_t,2000,16864.43198901,9608.32623831899,8158.27034242421,33177.9145387109
b_t,2001,10139.4299457405,5634.0650352282,4840.48992991672,20471.2328042377
b_t,2002,11057.8807209641,5702.38840643488,5543.03019396363,21160.1566634473
b_t,2003,17931.0334732246,9688.50064140739,8887.41973669631,34162.7067039327
b_t,2004,20807.4228746235,11072.3222107503,10088.815881096,39624.8497041975
b_t,2005,22833.6780505854,12077.9909477133,10964.8516942727,45556.9005305089
b_t,2006,21773.9064162553,11642.4639549932,10724.2749555535,43904.9846150193
b_t,2007,22988.1980608551,12186.0217587952,11355.0775464976,43609.602982852
b_t,2008,27882.8954887151,14728.5230828963,13798.4396386691,53354.9090699483
b_t,2009,26968.228877275,14552.472705025,12727.3255712786,51456.8003850585
b_t,2010,23502.5890955417,12680.7624406662,11237.7173800367,45460.9795638336
b_t,2011,22599.986905967,12552.8196096841,10321.0189729228,43795.7964790897
b_t,2012,17379.0364694486,9388.79168582921,8241.68213251721,33121.7287957966
b_t,2013,13821.8388746524,7213.72070980346,7046.94013999689,26137.7712527748
b_t,2014,12553.2415353314,6500.40639972131,6179.51522985036,24484.2104976431
b_t,2015,16750.7150547635,8681.0752565441,8328.33478682194,32368.331075447
b_t,2016,12768.4845059561,6606.07736553299,6378.34583730712,24268.4033430583
b_t,2017,9080.4873449031,4738.05639026036,4455.18159830242,17544.0557847821
b_t,2018,9194.50666349274,4730.37078219308,4599.57168082718,17404.9728359744
