variable,year,mean,sd,lower,upper
b_t,1950,28276.1322562998,24586.2920626177,13332.8919652541,59994.0493266123
b_t,1951,23088.3443660194,20909.0164467996,10279.8646953398,50630.2376366884
b_t,1952,25172.1406838704,23787.8572435624,10326.7776824091,57908.564645696
b_t,1953,25748.3879716625,23716.3286787605,9845.54812316388,59887.2113017148
b_t,1954,24879.6971732195,23386.0091136703,9919.39798396226,57726.2936485943
b_t,1955,22278.6061487581,20846.212858622,8971.06325667791,51977.299880123
b_t,1956,16505.2749567334,16835.8053919252,6547.51488696818,39350.4793740013
b_t,1957,16983.5372520344,16197.1953572778,6572.59202394011,39025.2809149547
b_t,1958,21952.3430623258,20549.8903524769,8876.95075060885,51162.6350232654
b_t,1959,24141.2128161762,22976.9850959142,9889.8250984086,53623.053306906
b_t,1960,26066.9804890805,24917.9919075167,10857.2155802026,60822.6654206025
b_t,1961,26578.8691326656,24274.9091136456,11118.8530597426,60598.9091240719
b_t,1962,36681.5722045639,33556.0560710717,14906.213730389,84347.4561801468
b_t,1963,55622.3137883994,51810.8476654526,23137.5884036689,127457.418514147
b_t,1964,64923.7259011316,60611.167174516,26645.9964561986,150331.341576762
b_t,1965,59154.7569532177,53561.4719803381,23823.749632515,135954.773015603
b_t,1966,72035.2057613729,65804.788353317,30050.3752661164,166094.667482883
b_t,1967,65650.8418800233,60389.1666115806,25555.4457597093,153487.554663989
b_t,1968,59332.0731592725,56663.9631829227,24731.1336608424,135921.045605376
b_t,1969,55138.1551324535,49344.5586141421,22447.3176262464,126101.525414167
b_t,1970,50642.3009438859,49589.1574641101,20938.2133347887,116855.508305175
b_t,1971,47935.213934969,45818.349370293,18370.2986645615,115160.855854158
b_t,1972,49801.7333616682,46039.427382066,21322.4286126665,112928.823616198
b_t,1973,78289.6645638314,73537.3764317226,30192.3782365388,180118.83968365
b_t,1974,43988.175164052,42262.5176094287,16884.4531308141,99044.6917379857
b_t,1975,41615.8134637792,37935.6650567806,16603.0260461568,93625.0493142746
b_t,1976,38203.9806312746,35123.061182613,15417.4699680102,88347.3650641335
b_t,1977,41224.020942473,39191.6509226768,16076.2669079517,93095.6980365485
b_t,1978,34943.8765991132,33357.635773746,14294.7832250012,78458.039960794
b_t,1979,33175.3597681225,32570.8944439268,13574.9308116972,77544.8194740121
b_t,1980,24196.2093786812,23139.739464395,9639.82837289355,54746.8751223618
b_t,1981,30747.5871620044,29043.7323808787,12932.0511270751,71716.5966341358
b_t,1982,30224.5920585209,30750.9414709651,12513.5805088199,65903.0995347983
b_t,1983,21655.9586904622,19387.9601147851,8505.67442259736,49900.5634034941
b_t,1984,21918.8229045236,19472.6991780598,9248.47143795949,48295.4771292172
b_t,1985,30729.8294566817,28749.5948853351,12348.695804921,70750.8159384522
b_t,1986,37183.263748142,34725.8029056637,15293.4107275085,84217.2297271146
b_t,1987,37631.9861764654,35853.3027649739,14853.25659198,85863.801929217
b_t,1988,34395.2039081121,32312.3030110447,13907.4821594779,78276.6087426398
b_t,1989,33776.0664430733,30113.6289495582,13717.5640970737,76266.3046340593
b_t,1990,40156.3615471691,38011.5207006022,16442.6391348775,91116.0484464005
b_t,1991,60108.5961532595,56536.0728760817,23543.777930296,138811.640309922
b_t,1992,53240.5544211485,49279.375554901,21652.4667058966,125132.85293657
b_t,1993,48537.1698517111,45471.4404551274,19246.2499360769,115303.163776861
b_t,1994,43033.1204034143,40652.4859123926,16886.3980966494,101006.417188664
b_t,1995,34774.9536085158,32811.6022599059,13281.948244887,81050.9140398119
b_t,1996,31662.6845454151,29773.4237959648,12829.0134032202,72233.083093079
b_t,1997,30322.243014664,28203.547069441,12612.6687852907,70101.0617804139
b_t,1998,25865.0890971117,24089.1712763398,10549.8327485562,55791.1807440303
b_t,1999,23776.552407942,22514.8948254936,9696.22374130915,52731.8437923196
b_t,2000,21997.6805570167,20945.4038302201,8908.20805481699,49769.4195015763
b_t,2001,20100.2164094685,18352.6847617604,8465.50156668375,45075.3938167216
b_t,2002,18524.7264839683,17162.8851844545,7516.06971274917,43430.2313566074
b_t,2003,14989.248204737,13708.0210813265,5954.82681150253,33177.2956439313
b_t,2004,11821.9438486812,10960.8599607485,4964.72813919978,27345.1772504541
b_t,2005,10259.8890629417,9068.0798720132,4208.4794255393,23088.7815343779
b_t,2006,9445.32062872468,9108.76429231982,4120.52313058272,20657.2926836697
b_t,2007,9203.58116038084,8132.21778077723,3808.77859769354,20207.9467953532
b_t,2008,9259.65451831173,7918.69752968626,4005.1906190079,21139.745032491
b_t,2009,9292.01933680318,8471.74900272893,3967.53719163658,20788.9108936887
b_t,2010,9060.66352274349,7961.35558552565,3900.69801326187,20227.0478062645
b_t,2011,9492.50236307546,8151.73771913485,3953.58261100946,20884.9909607376
b_t,2012,9715.61186567983,8550.21786294302,4207.66405373783,21174.0989291419
b_t,2013,9732.82077582854,9440.3099560746,3947.11367728013,21245.470822039
b_t,2014,9378.86521520716,8453.54874459005,4192.36517309218,20870.2079016327
b_t,2015,9553.51583279579,8729.28375097037,4096.10608094949,21267.1557379243
b_t,2016,10182.6111309351,9066.90762966401,4599.74650558582,22273.2186061555
b_t,2017,10701.6568617153,9493.07478540411,4706.19965198489,23438.2400558438
b_t,2018,11328.3631213705,9306.23321144668,4787.95583948598,25860.799979148
b_t,2019,11983.7234915892,10063.8760199563,5295.89283193046,26525.1755632209
b_t,2020,14505.9906785116,12910.8993802501,6462.6888095377,32893.9153256157
bmsy,1950,20921.323122832,17720.5247205232,10066.3518282749,44601.3614339582
ck,1950,0.00310081512089038,0.00120148429282637,0.00112104671742389,0.00496705083517546
ck,1951,0.00310081512089038,0.00120148429282637,0.00112104671742389,0.00496705083517546
ck,1952,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1953,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1954,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1955,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1956,0.00310081512089038,0.00120148429282637,0.00112104671742389,0.00496705083517546
ck,1957,0.00310081512089038,0.00120148429282637,0.00112104671742389,0.00496705083517546
ck,1958,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1959,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1960,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1961,0.00620163024178075,0.00240296858565275,0.00224209343484778,0.00993410167035092
ck,1962,0.00930244536267113,0.00360445287847912,0.00336314015227167,0.0149011525055264
ck,1963,0.0217057058462326,0.00841039004978461,0.00784732702196722,0.0347693558462282
ck,1964,0.0217057058462326,0.00841039004978461,0.00784732702196722,0.0347693558462282
ck,1965,0.024806520967123,0.00961187434261098,0.00896837373939111,0.0397364066814037
