variable,year,mean,sd,lower,upper
b_t,1950,169331.346182177,94277.9337131314,106540.344859604,302548.182695161
b_t,1951,124692.713632847,76730.38558288,66775.4536843904,234167.972867289
b_t,1952,114864.839050814,68391.7624493905,68326.8314972643,213793.70498068
b_t,1953,123685.962570557,73090.7015963542,76154.0677845145,219690.546855589
b_t,1954,152274.595104514,97654.9399454786,83412.4868941263,284683.876613942
b_t,1955,167778.300883864,108598.464485877,86319.5102137886,312414.81531684
b_t,1956,190962.996864088,128513.011499731,96939.5725939408,364392.035078741
b_t,1957,200419.407439204,119229.087441218,117560.762681996,380994.671754526
b_t,1958,194008.317112565,132547.130399753,70765.7040776204,374006.556635351
b_t,1959,190249.44416855,128038.62858215,85242.9387474386,367611.899916807
b_t,1960,220776.695887276,134623.584427918,132407.243255437,403447.565849598
b_t,1961,220603.524306089,150826.720310947,89118.3354151289,425666.102047954
b_t,1962,242637.861983748,163135.668482599,99308.6299981812,469995.592526066
b_t,1963,255067.26118693,173610.201782832,117807.02421264,496547.9880329
b_t,1964,298871.776938703,191884.603630265,154744.336035301,565801.077263668
b_t,1965,311292.461885018,213715.552942161,121716.614795067,603661.714028029
b_t,1966,319268.689980696,215973.857945684,143911.621008629,609160.636608759
b_t,1967,336116.984558975,227172.196618574,129472.109029648,639428.565265901
b_t,1968,342869.870219871,224611.330890669,170088.489324009,674529.733612788
b_t,1969,383363.827238223,224062.689200707,228370.449395491,692369.636146778
b_t,1970,393809.350143359,257480.508472985,188886.229216804,737901.299636857
b_t,1971,374804.708421873,237399.843809364,214231.734573199,700665.29470199
b_t,1972,308852.859002121,200582.423396743,157175.758848514,567369.419289556
b_t,1973,358303.634203858,232330.600163955,118154.319115196,685958.050529372
b_t,1974,382668.217672988,247475.38667497,157644.102027096,729662.971280442
b_t,1975,385619.668312026,267805.632390307,127588.704345482,739144.465867891
b_t,1976,366329.324471634,251190.577823694,137570.552760404,693420.524662299
b_t,1977,306299.496625996,205198.226320315,141834.975415566,592854.835484485
b_t,1978,300064.702104813,195171.017013679,159568.605302806,563105.446472617
b_t,1979,409983.784136405,268360.877664082,205278.716470442,745549.872663874
b_t,1980,429539.092468685,290320.089808484,177821.767499575,812395.145425545
b_t,1981,464172.463812111,315022.141192407,177021.128077632,902547.102898479
b_t,1982,514136.025554295,346012.04598664,215957.602010019,994572.564766208
b_t,1983,460975.693101792,314411.262097193,182891.262365466,866415.556289136
b_t,1984,394848.054790905,265170.36066756,159042.329113007,746644.461496947
