variable,year,mean,sd,lower,upper
b_t,1950,368763.303467466,346212.294901826,115741.572418538,965192.332655967
b_t,1951,189709.919651035,189354.838201784,59818.0434244667,509209.976126646
b_t,1952,157020.714436199,156466.956838008,45054.1538542096,422452.497155378
b_t,1953,149365.389528999,156528.96135715,42653.1779355749,387065.581447501
b_t,1954,175833.560611798,170866.597654228,49752.8915250079,465973.290652886
b_t,1955,215466.896490837,210596.360730572,56493.2210784589,577405.551933507
b_t,1956,284475.088951,290164.009391763,79710.3998827543,746270.877758086
b_t,1957,322832.2859625,330258.943421552,93310.3293124356,829141.966969758
b_t,1958,338647.293282089,324761.597759422,95410.1485841453,905059.979394704
b_t,1959,388899.225563843,389944.415441289,101063.176121136,1027453.83396882
b_t,1960,434475.914199615,439262.934623253,114717.153650407,1182550.05187845
b_t,1961,588556.294544986,569072.647090232,171037.486582267,1600847.21612984
b_t,1962,801664.631628668,771241.623764107,226225.085807796,2123244.10083778
b_t,1963,939682.093214559,931864.256489204,272077.752664196,2507519.96961911
b_t,1964,980475.403228935,973996.464187823,294731.357447471,2617992.92367147
b_t,1965,852227.762647295,863095.962940254,237013.488745209,2335561.9893277
b_t,1966,761631.333012949,751442.927403311,209667.866246474,2020187.8973849
b_t,1967,849162.025742158,817093.503043317,275720.428444261,2224215.82166502
b_t,1968,1073026.32748721,1066045.21159344,334908.770943554,2828950.5246233
b_t,1969,1232770.59610151,1224075.93423882,351335.465028133,3204475.17272273
b_t,1970,1293095.903517,1273638.3110209,350215.693838028,3359995.21780233
b_t,1971,1565699.08711022,1511047.71946642,511853.384569241,4236495.22328664
b_t,1972,1168403.53027216,1122480.53049424,373166.833146342,3205763.75733049
b_t,1973,1098630.29215128,1068962.80596808,293458.346163936,2931969.12683601
b_t,1974,1206331.77927263,1184149.66720937,374322.883727034,3235895.17917772
b_t,1975,912901.962221248,921097.097749493,258015.046985938,2437624.15514355
b_t,1976,886710.635776953,880467.310260584,238436.797439323,2320241.83707049
b_t,1977,896844.863909093,906976.439028001,279141.201667659,2414931.22047123
b_t,1978,848772.213360307,842046.765198118,258859.026806243,2184935.14429112
b_t,1979,755681.897516176,778505.893559783,201085.825421038,2005494.35723436
b_t,1980,510212.98399677,520188.297932852,137578.463315119,1361358.18094921
b_t,1981,552289.072613039,569438.473116299,149576.345720237,1454935.35245117
b_t,1982,556594.623393084,585422.677911456,155082.768233389,1508955.0903534
b_t,1983,483567.20836046,480347.588157488,147873.477240929,1281562.25730223
b_t,1984,388703.352306886,394427.604747613,121619.803794946,1027236.50209607
b_t,1985,395298.85459094,390427.05625373,106661.372939099,1025566.54757795
b_t,1986,316325.26122169,326484.504727203,82297.6513890393,828337.733780177
b_t,1987,267728.062789206,269612.278040443,70813.2407501553,714991.028628163
b_t,1988,260529.147906451,265829.9007839,71158.1442392434,698797.682304777
b_t,1989,236319.860772846,229051.951874724,71571.6414415116,616459.70449269
b_t,1990,225164.659214802,223222.08064317,68694.5514400588,604895.149985899
b_t,1991,221414.785295485,221808.610935829,59480.6628963843,578696.310166011
b_t,1992,234828.938996615,229380.394933246,65582.0716715383,625918.667716472
b_t,1993,235784.225917009,232685.998265291,66857.7102466352,637661.423815366
b_t,1994,222103.048519121,221510.527180347,62987.6072071811,587835.264236558
b_t,1995,212978.375694327,207991.596045473,55802.9266330048,567010.874764206
b_t,1996,173772.273879908,175324.776347123,52310.0221296676,464991.335331046
b_t,1997,116589.856720469,113964.764033884,37891.2143165854,310375.174071156
b_t,1998,91331.4811131669,91863.4526123251,24417.0650121258,248635.447279122
b_t,1999,83925.6587790332,79549.4280791723,24368.3820092222,216607.699542824
b_t,2000,96509.3695470254,93237.8877939007,29354.4718208735,255128.07667413
b_t,2001,102165.913821245,102641.654611462,34306.8976054945,277452.710859575
b_t,2002,110750.082705739,110027.499097833,32988.7571461859,299640.49809247
b_t,2003,109399.135798145,105505.079299097,29527.6358149792,283839.891412161
b_t,2004,101885.387084015,101244.04225501,33493.5620724006,273218.997744285
b_t,2005,93645.2206233141,96703.2434240611,27116.0341734849,246868.489373286
b_t,2006,105055.802684991,105527.788461509,29905.0192209617,284765.895162261
b_t,2007,95263.789574592,95931.5076484692,26605.2085487622,261824.722579556
b_t,2008,90397.7617348842,91514.9932129716,24963.1433074601,243664.985515431
b_t,2009,89148.5482099645,89344.8512924911,25753.4086137564,237136.975826267
b_t,2010,87805.1121244248,85298.1415007191,25807.0210099596,234768.913288658
b_t,2011,85398.6642114206,85416.3215379988,23905.7370874909,228821.858783896
b_t,2012,82611.7137661486,79644.8980632442,25472.7229499749,219593.117577501
b_t,2013,78947.9001125038,75106.9437040804,26483.5291227196,211477.124811821
b_t,2014,81665.731516445,80786.8096718217,22739.9570031039,222966.583200968
b_t,2015,80568.6173058213,77918.1388460618,24671.3595263107,213491.183853736
b_t,2016,69775.0092476548,69324.4841244036,23131.854001994,184150.901087685
b_t,2017,72765.5092433973,69724.0662132734,22822.4724934286,191012.684017955
b_t,2018,84714.8922684171,78238.2631060693,25047.9140948047,220073.156995406
b_t,2019,122780.003240789,116751.834842149,37501.0824920385,318136.73242677
bmsy,1950,289159.088173877,265962.170530479,98628.2516331168,749961.66792598
ck,1950,0.00235072070291366,0.001216507236367,0.000600030725725115,0.00456258721561786
ck,1951,0.0018283383244884,0.000946172294952113,0.000466690564452867,0.00354867894548056
ck,1952,0.00208952951370103,0.00108133976565956,0.000533360645088991,0.00405563308054921
ck,1953,0.0018283383244884,0.000946172294952113,0.000466690564452867,0.00354867894548056
ck,1954,0.00261191189212629,0.00135167470707445,0.000666700806361239,0.00506954135068651
ck,1955,0.00313429427055155,0.00162200964848934,0.000800040967633487,0.00608344962082382
ck,1956,0.00522382378425258,0.00270334941414889,0.00133340161272248,0.010139082701373
ck,1957,0.00600739735189047,0.00310885182627123,0.00153341185463085,0.011659945106579
ck,1958,0.00548501497346521,0.00283851688485634,0.0014000716933586,0.0106460368364417
ck,1959,0.00757454448716624,0.0039198566505159,0.00193343233844759,0.0147016699169909
ck,1960,0.00757454448716624,0.0039198566505159,0.00193343233844759,0.0147016699169909
ck,1961,0.0122759858929936,0.0063528711232499,0.00313349378989782,0.0238268443482266
ck,1962,0.0208952951370103,0.0108133976565956,0.00533360645088991,0.0405563308054921
ck,1963,0.0250743541644124,0.0129760771879147,0.00640032774106789,0.0486675969665905
ck,1964,0.0279474572457513,0.0144629193656966,0.00713369862806526,0.0542440924523457
ck,1965,0.0227236334614987,0.0117595699515477,0.00580029701534278,0.0441050097509727
ck,1966,0.018283383244884,0.00946172294952113,0.00466690564452867,0.0354867894548056
ck,1967,0.0224624422722861,0.0116244024808402,0.00573362693470665,0.043598055615904
ck,1968,0.0368279576789807,0.0190586133697497,0.00940048136969347,0.0714805330446798
ck,1969,0.039439869571107,0.0204102880768242,0.0100671821760547,0.0765500743953663
ck,1970,0.044402502166147,0.0229784700202656,0.0113339137081411,0.0861822029616707
ck,1971,0.0794021215206393,0.0410909110950632,0.0202677045133817,0.15411405706087
ck,1972,0.0381339136250439,0.0197344507232869,0.00973383177287409,0.0740153037200231
ck,1973,0.032387707462366,0.0167607663677231,0.00826708999887936,0.0628623127485128
ck,1974,0.0459200229754723,0.0237637930250759,0.0117212668766369,0.0891276064864196
ck,1975,0.0255131553622896,0.0132031585387032,0.00651233347653658,0.0495192799135059
ck,1976,0.0260303139169306,0.0134707901307039,0.00664434023619611,0.0505230491009418
ck,1977,0.0326906892418527,0.0169175606337438,0.00834442729241727,0.0634503795451924
ck,1978,0.0287284189014971,0.0148670701031118,0.00733304216916727,0.055759885316201
ck,1979,0.0290131172977388,0.015014402646183,0.00740571255706064,0.0563124653234258
ck,1980,0.0120513614702707,0.0062366270984415,0.00307615752055076,0.0233908637920676
ck,1981,0.019709487137985,0.0101997373395838,0.00503092428480191,0.0382547590322804
ck,1982,0.0209161904321473,0.0108242110542522,0.0053389400573408,0.0405968871362976
ck,1983,0.0192654621163235,0.00996995263938112,0.0049175851477205,0.0373929370026637
ck,1984,0.0148382714591695,0.00767886401088993,0.0037875272809382,0.0288000644132501
ck,1985,0.0206967898332087,0.0107106703788579,0.00528293718960646,0.0401710456628399
ck,1986,0.0130412760773866,0.00674891181242271,0.00332883712616167,0.0253122199639778
ck,1987,0.0177374936594296,0.00917922293574257,0.00452756517599917,0.0344272553125121
ck,1988,0.0153423704543498,0.0079397372293553,0.00391620053656592,0.0297784858939326
ck,1989,0.0154677422251719,0.00800461761529488,0.00394820217527126,0.0300218238787655
ck,1990,0.015015881467834,0.007770777890971,0.00383286293577076,0.0291447932250968
