variable,year,mean,sd,lower,upper
b_t,1950,500959.344016465,250039.244863929,220835.513330208,951492.527414409
b_t,1951,214741.610132384,119492.384415233,84451.6526546465,437919.173103376
b_t,1952,159450.462930399,91293.0228773286,60689.6694186791,323720.352699788
b_t,1953,145763.179995455,87948.1474983786,54170.3788914494,302469.701804163
b_t,1954,145117.45299585,83709.5579003682,55578.8164310261,297421.418350656
b_t,1955,160568.945144251,93068.9193540708,60229.4924483553,328249.05376494
b_t,1956,219863.207789738,121977.525932624,84689.2325099565,463484.003966226
b_t,1957,247212.437551464,138731.980581151,95243.5510453672,496912.502455568
b_t,1958,269956.112554267,160905.583762788,102266.202260301,550209.689619302
b_t,1959,276791.478382028,160976.246474885,103395.690222155,570768.67404754
b_t,1960,288518.743187942,169339.272427287,107766.572906203,597966.374315614
b_t,1961,337957.945695383,190182.890196351,131514.786542348,687748.773099936
b_t,1962,435426.295734591,239000.577921267,171190.284969037,854430.630140282
b_t,1963,595757.024256118,344352.481006072,226321.590659313,1251379.51187402
b_t,1964,647638.564620556,366051.365515865,252908.836400843,1348533.48775359
b_t,1965,583317.259141737,332529.000891456,225764.742331766,1187765.74628512
b_t,1966,614670.032494124,348462.89842458,236590.65498976,1260369.38896635
b_t,1967,724045.277382391,414545.455562448,280787.264625295,1461126.84226664
b_t,1968,780257.193405688,432493.284761378,301958.154725747,1566713.37900181
b_t,1969,722081.171554745,405732.420626513,275950.198582208,1492677.4592275
b_t,1970,754847.928273943,425181.432677756,293045.632686832,1540376.20375038
b_t,1971,866721.76549323,494981.647278594,342811.067350363,1763317.8658538
b_t,1972,951664.390148165,526584.785201948,371629.175281547,1910710.09207824
b_t,1973,1480699.492154,817025.699144369,592594.976431877,2993550.35613118
b_t,1974,1287438.19599181,732382.45214605,500485.94744092,2574762.04228947
b_t,1975,1179814.94884782,662867.384996329,454581.485449947,2467313.13579888
b_t,1976,874940.879171565,502433.571024565,341557.984646886,1801147.80937702
b_t,1977,823849.595506648,466704.347907019,316340.521380987,1662301.56856551
b_t,1978,941904.397151705,544159.941656031,354849.076776503,1958314.62128605
b_t,1979,928696.079905041,527399.630558697,356561.808730251,1914634.34265148
b_t,1980,899486.812484802,509201.936459171,349158.451965305,1846737.45312094
b_t,1981,656332.149491409,372034.609798608,246535.165248105,1337296.33604105
b_t,1982,617830.522176484,340687.407244933,242061.410498532,1240584.99574729
b_t,1983,604262.201133825,343530.377454882,228434.65638289,1251558.9433646
b_t,1984,570024.12590153,328286.646338637,214965.876725525,1177034.66809792
b_t,1985,620978.426681145,344937.908936542,237679.081295593,1254157.48787749
b_t,1986,636559.819829482,365757.531072924,242802.723085125,1302207.5018007
b_t,1987,526202.236179777,294742.731363206,205309.190151152,1080098.56844364
b_t,1988,573364.524971569,320546.53878306,222852.179536826,1169629.28079401
b_t,1989,555452.278151489,314851.399820416,216841.369030386,1110429.97572571
b_t,1990,473521.797048447,267656.788794741,182480.050623807,949928.7152494
b_t,1991,572013.657093031,326253.732393639,215758.084162843,1154621.62225422
b_t,1992,540754.255570025,305632.042464262,207926.609436742,1091658.73583427
b_t,1993,575294.315786266,317760.068593576,223023.831247113,1165588.62903034
b_t,1994,730249.768275267,399643.423884018,282969.475040789,1471685.69412733
b_t,1995,856291.337237265,478780.690673129,331763.826672826,1726592.35992137
b_t,1996,1027720.17553288,576935.327090032,406173.942033491,2112020.39446618
b_t,1997,1050094.31612049,600182.593957703,397658.600692193,2149751.54680454
b_t,1998,985767.774240908,559711.70100137,368036.285113586,2040919.37729152
b_t,1999,1027929.83481395,586400.081777643,399523.688649682,2110692.82901618
b_t,2000,1034432.55853301,586148.650441139,396908.702993544,2130456.3807214
b_t,2001,1072067.55921721,606668.910585733,414280.769944642,2187473.79425327
b_t,2002,1071082.76531948,592831.580226113,425114.172123075,2175047.16445421
b_t,2003,1134541.35187105,622427.087194721,448525.827160281,2263231.66487836
b_t,2004,1209743.68712126,680626.049199314,468523.481101406,2481549.59542475
b_t,2005,1262310.20721201,705218.637353945,497519.864015696,2538871.68807542
b_t,2006,1221014.1280469,683903.847892058,483440.506830228,2464565.51976888
b_t,2007,1207322.39811814,665830.773260413,478224.614570393,2488757.49348148
b_t,2008,1174740.52403178,666588.108161309,470258.991585319,2469098.63011136
b_t,2009,1062501.92272296,587952.948345528,418754.228166291,2152214.40245431
b_t,2010,1011596.04315553,576998.933483484,398428.352278559,2093113.22731629
b_t,2011,1049808.03582858,606304.211190005,404571.451168318,2135103.02635872
b_t,2012,900926.737957414,496464.393357,355896.943716675,1854944.49389962
b_t,2013,815305.689029549,455048.787853818,319835.749675857,1681767.64066347
b_t,2014,846033.329847444,497489.894898176,323800.713690995,1722961.82078475
b_t,2015,846667.362442676,498498.981138742,310247.134847445,1760086.03682252
b_t,2016,698513.290760558,404023.576676932,267475.239396106,1458573.35330687
b_t,2017,617521.262670937,353247.491721272,240872.779585631,1243318.38889533
b_t,2018,543178.738241593,306175.634731876,206177.277890101,1093117.47319699
b_t,2019,453977.317637661,246305.79277308,175090.846941587,923926.13124847
bmsy,1950,427891.553124266,209794.367175421,190005.960327996,828797.169517255
ck,1950,0.000861320883669598,0.000389153353597582,0.000361970348165265,0.00157889785058187
ck,1951,0.000717767403057998,0.000324294461331318,0.000301641956804388,0.00131574820881823
ck,1952,0.000717767403057998,0.000324294461331318,0.000301641956804388,0.00131574820881823
ck,1953,0.000717767403057998,0.000324294461331318,0.000301641956804388,0.00131574820881823
ck,1954,0.000717767403057998,0.000324294461331318,0.000301641956804388,0.00131574820881823
ck,1955,0.000717767403057998,0.000324294461331318,0.000301641956804388,0.00131574820881823
ck,1956,0.0015790882867276,0.0007134478149289,0.000663612304969653,0.0028946460594001
ck,1957,0.0015790882867276,0.0007134478149289,0.000663612304969653,0.0028946460594001
ck,1958,0.0017226417673392,0.000778306707195164,0.00072394069633053,0.00315779570116374
ck,1959,0.0018661952479508,0.000843165599461427,0.000784269087691408,0.00342094534292739
ck,1960,0.0018661952479508,0.000843165599461427,0.000784269087691408,0.00342094534292739
ck,1961,0.00229685568978559,0.00103774227626022,0.000965254261774041,0.00421039426821833
ck,1962,0.00330173005406679,0.00149175452212406,0.00138755300130018,0.00605244176056384
ck,1963,0.00559858574385239,0.00252949679838428,0.00235280726307422,0.0102628360287822
ck,1964,0.00645990662752199,0.00291865015198186,0.00271477761123949,0.011841733879364
ck,1965,0.00459371137957119,0.00207548455252044,0.00193050852354808,0.00842078853643665
ck,1966,0.00531147878262919,0.00239977901385175,0.00223215048035247,0.00973653674525488
ck,1967,0.00732122751119158,0.00330780350557945,0.00307674795940475,0.0134206317299459
ck,1968,0.00875676231730758,0.00395639242824208,0.00368003187301353,0.0160521281475824
ck,1969,0.00574213922446399,0.00259435569065055,0.0024131356544351,0.0105259856705458
ck,1970,0.00631635314691039,0.0028537912597156,0.00265444921987861,0.0115785842376004
ck,1971,0.00832610187547278,0.00376181575144329,0.0034990466989309,0.0152626792222914
ck,1972,0.00803899491424958,0.00363209796691076,0.00337838991620914,0.0147363799387641
ck,1973,0.0238298777815255,0.0107665761161998,0.0100145129659057,0.0436828405327651
ck,1974,0.0156487649214705,0.0070702678459454,0.00657639794224926,0.028685942448655
ck,1975,0.0147501201328419,0.00666425118035859,0.00619874221233017,0.0270386256912146
ck,1976,0.00829021350531988,0.00374560102837672,0.00348396460109068,0.0151968918118505
ck,1977,0.00876250445653204,0.00395898678393273,0.00368244500866796,0.0160626541332529
ck,1978,0.0114943271925708,0.00519325150375973,0.00483049429626546,0.0210703918160151
ck,1979,0.0111483633042968,0.00503694157339803,0.00468510287308575,0.0204362011793647
ck,1980,0.0126470616418819,0.00571406840865783,0.00531493127889331,0.0231834834393772
ck,1981,0.00698961897097879,0.00315797946444438,0.00293738937536113,0.0128127560574719
ck,1982,0.00729969448909984,0.00329807467173951,0.00306769870070062,0.0133811592836814
