variable,year,mean,sd,lower,upper
b_t,1953,257200.694651594,10789.2859863333,245563.059443547,274915.846459849
b_t,1954,387387.863299977,23888.4079462476,361321.641027343,424622.993113574
b_t,1955,258378.551264549,9129.19164111707,244204.66209854,272366.677794644
b_t,1956,491975.974582769,26722.987220001,457822.253902864,530435.874444381
b_t,1957,300111.159245929,15433.4144884628,276942.515360144,319375.861468621
b_t,1958,527980.509606334,20603.9055283506,494167.548664613,554495.674637247
b_t,1959,504012.781228874,22761.118168078,468558.716322841,534880.966267432
b_t,1960,380353.307945738,25886.1792000438,350930.261244316,420284.350782818
b_t,1961,431106.807813818,44946.0374815614,365958.881383607,491927.736291792
b_t,1962,467504.578510233,29590.0837435833,413503.138199373,508212.885308839
b_t,1963,545238.763743127,40934.1334435544,485564.571594145,597413.038350836
b_t,1964,318776.255558895,13500.8169472352,301797.967097158,344201.298344931
b_t,1965,196577.353945819,17532.4351103137,174401.752890825,221922.496235329
b_t,1966,223731.153149185,17306.9508164612,201585.269036267,250585.858052631
b_t,1967,290641.45174431,18274.5730648084,263263.62661278,316987.892536592
b_t,1968,306495.583845821,24518.869273304,274414.065199403,343092.4599632
b_t,1969,233312.433114835,14393.4003641538,213944.412960886,255917.941585714
b_t,1970,340653.784620994,19019.5908294455,309705.284319774,364570.166953663
b_t,1971,316930.667983762,36010.0928794097,262559.52165891,367396.272374971
b_t,1972,286566.663909585,22249.3629491502,258617.648907857,322821.76086746
b_t,1973,215762.089412421,15542.644984018,199882.867363817,241589.13852368
b_t,1974,217583.937896171,18722.7828928096,197554.462379612,249090.061855088
b_t,1975,171036.284554328,15122.1594660112,154506.235995261,197786.203691743
b_t,1976,142821.385655507,11838.3082954443,130382.932636655,161553.157250917
b_t,1977,117026.062667845,6369.14299359688,110225.471523179,127699.51921432
b_t,1978,79359.6016527218,5923.95233338497,72295.6729206998,88944.9458742703
b_t,1979,87553.3470431274,7004.45577223809,78733.9453692351,99013.0149169608
b_t,1980,63080.0573879299,5860.46325953519,54798.026242562,74029.0560344698
b_t,1981,62465.8727524721,8517.29009386825,51830.9535557148,76226.5692425914
b_t,1982,50030.3430159596,6995.78490159306,40979.3106834598,60874.5097749448
b_t,1983,53236.7404512728,4739.99721703884,45455.6314892139,59368.7990715568
b_t,1984,89744.5756091003,6767.4362234567,78567.3962903214,99246.0069160603
b_t,1985,59925.513192902,4622.7183302566,52464.6190738137,65989.7641044814
b_t,1986,56632.8745482616,3455.91212061128,49885.4655926472,60785.2520519121
b_t,1987,37889.0172021865,1987.03876573104,33427.9679373042,40047.1347450564
b_t,1988,29120.5754005949,990.218003119722,27047.559836269,30439.6066822879
b_t,1989,27139.0676940642,1345.11353176896,25774.434866018,29939.9993839688
b_t,1990,22600.2791728287,1819.92063312953,20637.8423767875,25574.6551652219
b_t,1991,20736.936434942,1943.26578165227,18935.8256751334,24023.4375706601
b_t,1992,17101.3090130343,772.985994184766,16153.0917952676,18472.0322570544
b_t,1993,13186.3874010024,547.187477066295,12417.8296227996,14042.8064501469
b_t,1994,18040.5205182346,490.191608975003,17108.3479193374,18565.9696619613
b_t,1995,20634.5404206132,437.206867647524,19925.4123306303,21282.3680141618
b_t,1996,23537.5966473856,668.971506173228,22277.976000721,24481.7771687397
b_t,1997,25289.7280099098,803.482354057342,24349.4807039782,26925.433642519
b_t,1998,23760.0200520427,1197.73509553908,22099.6453597301,25566.5912334341
b_t,1999,21431.4392738467,798.317289155872,20196.4198118242,22758.4945251037
b_t,2000,24553.4907878945,701.490383652709,23524.8657497791,25889.9885120845
b_t,2001,20860.2855445506,444.622437641614,20075.0930668694,21588.415352827
