variable,year,mean,sd,lower,upper
b_t,1953,270876.050017306,255199.574637091,84947.6856277134,748604.172181133
b_t,1954,265318.58155975,270948.61220438,69023.7788626626,746742.709391935
b_t,1955,278985.338382569,285259.439223602,72276.0621646962,761046.035641065
b_t,1956,624652.150776986,645019.172578879,164689.4977181,1651189.8674368
b_t,1957,425933.585758892,447030.970208688,108587.124162594,1203424.85409614
b_t,1958,344601.6597894,350998.879607246,85944.7540612693,961050.959322523
b_t,1959,282010.56809702,307045.987466141,71402.3935007433,812071.410147449
b_t,1960,350154.343168358,371490.955852121,89281.0774276731,990109.008831337
b_t,1961,305337.771796866,320720.403359896,78596.6364973569,816516.846227188
b_t,1962,276716.261074811,288767.080051143,70219.1214782143,735149.792103608
b_t,1963,333085.62929276,344286.731899808,87527.5813530248,894484.406059367
b_t,1964,522673.974495714,555629.026321771,130355.335955395,1417247.96806612
b_t,1965,277308.382276354,274040.518360778,75715.3372351314,763592.511305803
b_t,1966,335874.283392566,366073.350577824,79261.8843662719,979827.191327192
b_t,1967,146848.225409731,156807.997154199,38174.7290112554,406347.583866194
b_t,1968,167573.568762463,175679.823761557,43361.545685953,442780.396220168
b_t,1969,222131.719270276,241730.604145162,55925.9768182422,614010.140617404
b_t,1970,168969.815109065,176301.533832643,43326.1712053992,473552.915976366
b_t,1971,257327.698805686,300452.510922805,64701.9031604622,723230.95006937
b_t,1972,357090.068988727,391333.668065186,92764.4703840248,961213.110645548
b_t,1973,365090.397188078,381951.545377323,91763.7833075913,990789.548515703
b_t,1974,267715.79060256,266427.651856617,68529.16378528,737703.107350384
b_t,1975,298528.721590386,329758.163626483,76555.5457437851,848412.629042718
b_t,1976,307727.235212474,339546.134198201,74824.2274014027,842488.915273318
b_t,1977,308671.313312336,336767.380152588,80858.2922487459,820727.029498638
b_t,1978,257945.310488162,285805.800187831,66745.0227720269,676903.870582661
b_t,1979,250380.31133091,261930.708680331,64112.8110895019,666267.33497066
b_t,1980,304722.427108595,321962.925318073,76645.8013019038,839587.02121958
b_t,1981,293950.524832215,297031.046431384,78290.910862608,820549.877133089
b_t,1982,316868.709378297,325031.078237588,80857.157375417,898161.170294027
b_t,1983,305945.04889911,336587.874774955,83430.4945926328,849862.117210148
b_t,1984,513557.46236082,507114.011197678,143844.617967974,1407408.8684035
b_t,1985,511529.941436059,530268.95951763,129238.170661274,1411608.05768721
b_t,1986,447821.465990906,473740.397424409,112518.542293737,1259580.9046739
b_t,1987,391475.185709586,411679.392056888,101808.428122037,1060464.19335278
b_t,1988,488542.008311497,495789.143625871,133890.458956873,1377965.87541996
b_t,1989,477197.906656008,477824.644760412,127464.285983215,1329238.18687839
b_t,1990,410396.963165475,420588.131860205,109361.024381465,1114701.10776606
b_t,1991,537086.776005512,579838.802913981,147057.226095733,1446252.23413331
b_t,1992,470260.896889457,504492.660814635,119233.183454629,1293342.73260303
b_t,1993,283404.010161541,296341.388746981,73594.5901098801,796361.673729705
b_t,1994,278104.700157451,291855.364436123,74204.5509563684,759490.970169397
b_t,1995,278931.127915565,309629.858708036,68358.9186758186,823863.584035994
b_t,1996,220649.25983091,243319.981907573,57660.6961410752,631602.895511576
b_t,1997,166524.200775623,170315.712677741,44338.2115196265,448336.005564074
b_t,1998,157070.467555213,170064.694612005,41325.3192545432,420616.861116967
b_t,1999,158038.781556821,171979.20456828,41389.3362155545,431883.414152947
b_t,2000,178306.029521523,191313.583669509,48356.0680386077,480484.283748305
b_t,2001,234201.775373629,245923.269677349,66875.9059277473,594311.090890645
b_t,2002,264935.250867773,283660.552888232,70612.3678271558,708767.45248412
b_t,2003,286995.564103581,331353.354921162,75906.0984775933,787741.117916897
b_t,2004,197532.758272014,202876.268680666,50577.070463332,543044.11435329
b_t,2005,196897.709742545,206107.004948505,53726.2192799318,532103.811121985
b_t,2006,196610.532678136,209256.725946694,53276.1595948309,531079.246266416
b_t,2007,208112.342761398,218026.754560998,53458.3450893529,560745.65369144
b_t,2008,191437.161340753,192416.442090067,50851.2652749082,544753.227347959
b_t,2009,184040.486695425,188567.619722257,50571.4831737184,494243.010214106
b_t,2010,171489.740900744,177508.436914697,46641.1177771038,472366.818236533
b_t,2011,179889.325908013,187568.951109015,48090.4735564197,474691.479629364
b_t,2012,224618.094970724,229684.998846311,62417.0099548761,606878.129341082
b_t,2013,232970.788900605,248879.433310201,60221.0295515153,648403.685485512
b_t,2014,166067.6507172,169365.06658721,44826.6855841815,437043.556942386
b_t,2015,171914.027252598,171528.966215332,48443.9271344363,468501.803178567
b_t,2016,159812.682992757,161346.60436573,42594.9024624518,429909.725396845
b_t,2017,134275.014181154,141515.245837007,34186.3505297874,366337.511247855
b_t,2018,127830.71184273,129233.836839623,34364.2205156512,354404.39406987
b_t,2019,142932.687535885,149172.256050685,39573.2948230051,393046.424471503
b_t,2020,170789.312101178,171649.797175049,49165.2528822468,480707.251144751
bmsy,1953,187679.553609178,176035.100513811,61207.5657800629,498556.513193458
ck,1953,0.00372454927974364,0.00205832389174225,0.000902605943906247,0.00735203275786424
ck,1954,0.00455222689746444,0.0025157292010183,0.00110318504255208,0.00898581781516741
